1637674,Amo tu cama rica,1992
1637845,Amor casi... libre,1976
1637871,Amor de hombre,1997
1637878,Amor de madre,1999
1637902,Amor digital,1996
1637904,Amor e Dedinhos de Pé,1992
1637922,Amor en off,1992
1637979,Amor propio,1994
1637991,Amor serrano,1999
1638165,Amore vuol dir gelosia,1975
1638170,"Amore, piombo e furore",1978
1638192,Amores que matan,1996
1638565,América,1991
1640292,Ana manuscrito,1980
1640329,Ana y los Davis,1994
1641781,Ancien Regim,1994
1642159,Andaduras de Don Quijote (La Mancha IV),1978
1642178,Andalucía chica,1988
1642263,Ander Eta Yul,1988
1642416,Andrea,1996
1642561,Andrologia,1998
1642758,Andújar y su Virgen de la Cabeza,1981
1643188,Angel,1999
1643583,Angelitos,1993
1644005,Angustia,1987
1644309,Animales devoradores: El hombre,1997
1644313,Animales racionales,1983
1644373,Animarathon,1984
1644492,Animia de cariño,1996
1644597,Aniversario,1996
1646103,Anta mujer,1976
1646246,Antes del beso,1993
1646543,Antisalmo,1976
1646640,Antonieta,1982
1646688,"Antonio, Jorge y Luís",1998
1646782,Antártida,1995
1647329,Apaga... y vámonos,1981
1647702,Apocalipsis sexual,1982
1647723,Apocalypse domani,1980
1648686,Aquarium,1975
1648730,Aquel ritmillo,1995
1648741,Aquella casa en las afueras,1980
1648745,Aquellas Navidades,1997
1648762,Aquesta nit o mai,1992
1648806,Aquí hacemos los sueños realidad,1995
1648807,Aquí huele a muerto... (¡pues yo no he sido!),1990
1648809,"Aquí llega Condemor, el pecador de la pradera",1996
1648824,"Aquí, el que no corre... vuela",1992
1649213,Araña y cierra España,1976
1649870,Argeles,1978
1650379,Armada 76,1978
1650951,Arquitectura en la Costa del Sol,1976
1650953,Arquitectura para después de una guerra,1978
1650998,Arrebato,1980
1650999,Arrebatos,1998
1651039,"Arri, arri",1976
1651046,Arriba Hazaña,1978
1651248,Arrivederci Roma,1990
1651356,Ars,1998
1651687,Arte actual U.S.A.,1978
1651692,Arte de agricultura,1976
1651697,Arte del tejido en el antiguo Perú,1976
1651727,Arte precolombino en el Perú,1976
1651771,Artesanos,1976
1652154,Arturo Gámez,1993
1652159,Arturo y el abismo,1991
1652406,As aventuras do capitán Hixiénico,1992
1652857,As xoias da señora Bianconero,1994
1652961,Asaltar los cielos,1999
1652965,Asalto a las tullerías,1980
1652969,Asalto al Banco Central,1983
1652970,Asalto al casino,1981
1652991,Asamblea Nacional de Turismo,1975
1653041,Ascendente,1999
1653071,Ascensor,1978
1653162,Asesinato en el Comité Central,1982
