1;1972-1973;1;1
2;1972-1973;2;1
3;1973-1974;1;1
4;1973-1974;2;1
5;1974-1975;1;1
6;1974-1975;2;1
7;1975-1976;1;1
8;1975-1976;2;1
9;1976-1977;1;1
10;1976-1977;2;1
11;1977-1978;1;1
12;1977-1978;2;1
13;1978-1979;1;1
14;1978-1979;2;1
15;1979-1980;1;1
16;1979-1980;2;1
17;1980-1981;1;1
18;1980-1981;2;1
19;1981-1982;1;1
20;1981-1982;2;1
21;1982-1983;1;1
22;1982-1983;2;1
23;1983-1984;1;1
24;1983-1984;2;1
25;1984-1985;1;1
26;1984-1985;2;1
27;1985-1986;1;1
28;1985-1986;2;1
29;1986-1987;1;1
30;1986-1987;2;1
31;1986-1987;d_2;1
32;1987-1988;1;1
33;1987-1988;2;1
34;1987-1988;a_1;1
35;1988-1989;1;1
36;1988-1989;2;1
37;1988-1989;a_1;1
38;1989-1990;1;1
39;1989-1990;2;1
40;1989-1990;a_1;1
41;1990-1991;1;1
42;1990-1991;2;1
43;1990-1991;a_1;1
44;1991-1992;1;1
45;1991-1992;2;1
46;1991-1992;a_1;1
47;1992-1993;1;1
48;1992-1993;2;1
49;1992-1993;a_1;1
50;1993-1994;1;1
51;1993-1994;2;1
52;1993-1994;a_1;1
53;1994-1995;1;1
54;1994-1995;2;1
55;1994-1995;a_1;1
56;1995-1996;1;1
57;1995-1996;2;1
58;1995-1996;a_1;1
59;1996-1997;1;1
60;1996-1997;2;1
61;1996-1997;a_1;1
62;1997-1998;1;1
63;1997-1998;2;1
64;1997-1998;a_1;1
65;1998-1999;1;1
66;1998-1999;2;1
67;1998-1999;a_1;1
68;1999-2000;1;1
69;1999-2000;2;1
70;2000-2001;1;1
71;2000-2001;2;1
72;2001-2002;1;1
73;2001-2002;2;1
74;2002-2003;1;1
75;2002-2003;2;1
76;2003-2004;1;1
77;2003-2004;2;1
78;2004-2005;1;1
79;2004-2005;2;1
80;2005-2006;1;1
81;2005-2006;2;1
82;2006-2007;1;1
83;2006-2007;2;1
84;2007-2008;1;1
85;2007-2008;2;1
86;2008-2009;1;1
87;2008-2009;2;1
88;2009-2010;1;1
89;2009-2010;2;1
90;2010-2011;1;1
91;2010-2011;2;1
92;2010-2011;a_1;1
93;2011-2012;1;1
94;2011-2012;2;1
95;2011-2012;a_1;1
96;2012-2013;1;1
97;2012-2013;2;1
98;2012-2013;a_1;1
99;2013-2014;1;1
100;2013-2014;2;1
101;2013-2014;a_1;1
102;2014-2015;1;1
103;2014-2015;2;1
104;2014-2015;a_1;1
105;2015-2016;1;1
106;2015-2016;2;1
107;2015-2016;a_1;1
108;2016-2017;1;0
109;2016-2017;2;0
