1150	NAS	12
1151	LAT	33
1151	NAS	23
1152	LAT	46
1160	CAR	27
1168	NAS	16
1187	CAR	9
1187	NAS	37
1195	CAR	41
1197	LAT	9
1197	NAS	45
1201	NAS	31
1204	CAR	14
1204	LAT	96
1212	NAS	15
1219	CAR	69
1219	LAT	125
1219	NAS	40
1236	NAS	38
1239	CAR	37
1248	CAR	15
1251	NAS	19
1260	CAR	13
1260	LAT	23
1262	LAT	118
1262	NAS	27
1264	NAS	125
1266	NAS	126
1277	NAS	27
1281	NAS	71
1282	NAS	37
1296	NAS	35
1299	CAR	103
1299	NAS	9
1300	CAR	46
1301	CAR	19
1308	CAR	53
1309	LAT	56
1317	NAS	20
1318	NAS	21
1327	NAS	31
1333	CAR	51
1336	NAS	20
1342	LAT	12
1342	NAS	23
1343	NAS	15
1346	CAR	55
1350	NAS	35
1366	CAR	14
1366	NAS	12
1370	NAS	22
1376	NAS	17
1378	NAS	35
1380	CAR	93
1381	LAT	82
1382	CAR	134
1382	NAS	17
1383	CAR	34
1383	NAS	7
1387	CAR	8
1387	NAS	8
1388	CAR	47
1389	NAS	22
1392	NAS	36
1394	CAR	85
1394	NAS	28
1401	CAR	16
1404	CAR	26
1405	CAR	35
1405	LAT	75
1406	CAR	85
1414	CAR	27
1415	CAR	31
1426	CAR	19
1428	CAR	33
1429	CAR	8
1429	LAT	20
1430	CAR	21
1430	SEC	11
1433	CAR	26
1438	CAR	15
1444	CAR	21
1453	CAR	33
1464	CAR	19
1511	LAT	69
1518	LAT	23
1518	NAS	12
1520	CAR	9
1520	LAT	8
1520	NAS	20
1521	CAR	41
1521	LAT	16
1526	LAT	46
1529	NAS	90
1531	NAS	23
1534	NAS	21
1535	CAR	48
1535	LAT	14
1543	NAS	16
1546	CAR	4
1546	LAT	12
1550	NAS	15
1551	LAT	32
1551	NAS	27
1551	WEA	9
1558	NAS	21
1559	CAR	85
1560	LAT	72
1562	CAR	24
1564	CAR	56
1564	NAS	1
1565	LAT	52
1566	CAR	19
1566	LAT	29
1566	NAS	12
1568	NAS	20
1570	LAT	99
1570	NAS	7
1573	CAR	23
1573	NAS	5
1578	CAR	1
1578	NAS	16
1579	CAR	16
1579	NAS	11
1580	NAS	101
1584	NAS	59
1587	CAR	20
1587	LAT	18
1587	NAS	13
1602	LAT	166
1602	NAS	4
1603	CAR	12
1603	LAT	112
1606	CAR	43
1606	NAS	18
1610	CAR	7
1610	LAT	133
1610	NAS	6
1611	CAR	13
1611	LAT	91
1611	NAS	11
1628	NAS	20
1631	CAR	11
1631	NAS	38
1633	CAR	31
1637	NAS	25
1639	CAR	13
1639	NAS	11
1640	CAR	63
1641	CAR	71
1649	NAS	23
1675	CAR	42
1675	NAS	9
1695	NAS	35
1701	CAR	19
1701	NAS	14
1712	CAR	248
1712	NAS	7
1713	LAT	219
1715	LAT	239
1720	CAR	35
1722	LAT	15
1724	NAS	32
1725	LAT	19
1726	NAS	15
1728	CAR	12
1728	LAT	95
1728	NAS	1
1734	CAR	22
1734	LAT	69
1734	NAS	4
1737	CAR	22
1739	LAT	63
1740	LAT	13
1740	NAS	2
1741	LAT	44
1741	NAS	1
1742	NAS	16
1743	LAT	9
1743	NAS	18
1744	CAR	7
1744	NAS	83
1745	LAT	80
1745	NAS	49
1748	NAS	53
1749	NAS	27
1750	NAS	26
1754	NAS	15
1756	CAR	12
1756	LAT	4
1756	NAS	8
1776	LAT	187
1777	LAT	163
1791	CAR	38
1791	NAS	3
1792	LAT	33
1792	NAS	7
1794	LAT	125
1797	CAR	15
1798	NAS	16
1803	CAR	79
1806	CAR	17
1806	NAS	1
1807	CAR	46
1808	LAT	71
1808	NAS	3
1809	CAR	10
1809	LAT	60
1810	CAR	3
1810	LAT	69
1810	NAS	3
1811	CAR	7
1811	LAT	73
1812	LAT	24
1813	LAT	50
1815	CAR	70
1815	NAS	2
1831	CAR	17
1831	NAS	5
1834	NAS	26
1836	CAR	27
1836	NAS	7
1837	LAT	139
