260	N14320	61	1986
261	N14324	61	1986
262	N14325	61	1986
263	N14334	61	1986
264	N14335	61	1986
265	N14336	61	1987
266	N14337	61	1987
267	N14341	61	1987
268	N14342	61	1987
269	N14346	61	1987
270	N14347	61	1987
271	N14358	61	1988
272	N143DA	115	1998
273	N144DA	115	1999
274	N14505	151	1999
275	N14508	151	2000
276	N14514	153	2000
277	N14516	153	2000
278	N14522	153	2001
279	N14542	156	2001
280	N14543	156	2002
281	N14558	156	
282	N14562	156	2002
283	N14568	156	2002
284	N14570	156	2002
285	N14573	156	2002
286	N14601	69	1994
287	N14604	69	1994
288	N14605	69	1994
289	N14609	69	1994
290	N14613	69	1994
291	N14628	69	1995
292	N14629	69	1965
293	N14639	69	1997
294	N14645	69	1997
295	N14652	69	1998
296	N14653	69	1998
297	N14654	69	1998
298	N14655	69	1998
299	N14664	69	1998
300	N14667	69	1998
301	N14668	69	1998
302	N14704	72	1998
303	N14731	72	1999
304	N14735	72	1999
305	N14902	156	2001
306	N14904	156	2001
307	N14905	156	2001
308	N14907	156	2001
309	N14916	156	2001
310	N14920	156	2001
311	N14923	156	2000
312	N14925	154	1996
313	N14930	154	1997
314	N14933	154	1997
315	N14937	154	1997
316	N14938	154	1997
317	N14939	154	1997
318	N14940	154	1997
319	N14942	154	1997
320	N14943	154	1998
321	N14945	154	1998
322	N14947	154	1998
323	N14950	156	1998
324	N14952	156	1998
325	N14953	156	1998
326	N14959	156	1998
327	N14960	156	1998
328	N14972	156	1999
329	N14974	156	1999
330	N14977	156	1999
331	N14991	156	2000
332	N14993	156	2000
333	N14998	156	2000
334	N149AT	74	2004
335	N1501P	119	1990
336	N152DL	119	1990
337	N153DL	119	1990
338	N154AW	54	1987
339	N154DL	119	1991
340	N154SF	130	1996
341	N15509	151	2000
342	N15527	153	2001
343	N15555	156	
344	N15572	156	2002
345	N15574	156	
346	N155AW	54	1987
347	N155DL	119	1991
348	N15659	69	1998
349	N156AW	54	1987
350	N156DL	119	1991
351	N15710	72	1998
352	N15712	72	1998
353	N157AW	54	1987
354	N158AW	54	1987
355	N15910	156	2001
356	N15912	156	2001
357	N15926	154	1996
358	N15932	154	1997
359	N15941	154	1997
360	N15948	154	1998
361	N15973	156	1999
362	N15980	156	1999
363	N15983	156	2000
364	N15985	156	2000
365	N15986	156	2000
366	N1602	115	1999
367	N1603	115	1999
368	N1604R	115	1999
369	N1605	115	1999
370	N16065	115	1999
371	N1607B	115	2000
372	N1608	115	2000
373	N1609	115	2000
374	N160AW	54	1988
375	N1610D	115	2000
376	N16112	157	2002
377	N1611B	115	2000
378	N1612T	115	2001
379	N1613B	115	2001
380	N16147	157	2003
381	N16149	157	2003
382	N16151	157	2003
383	N16170	157	2004
384	N16178	157	2005
385	N16183	157	2005
386	N161UW	31	2001
387	N16217	81	1998
388	N16234	81	1999
389	N162UW	31	2001
390	N16301	61	1985
391	N16310	61	1985
392	N16339	61	1987
393	N163US	31	2001
394	N164AW	51	1986
395	N16501	151	1999
396	N16502	151	1999
397	N16510	151	2000
398	N16511	151	2000
399	N16520	153	2001
400	N16525	153	2001
401	N16541	156	2001
402	N16546	156	2002
403	N16559	156	2002
404	N16561	156	2002
405	N16571	156	2002
406	N165US	31	2001
407	N16607	69	1994
408	N16617		
409	N16618	69	1994
410	N16632	69	1995
411	N16642	69	1997
412	N16646	69	1997
413	N16647	69	1997
414	N16648	69	1997
415	N16649	69	1997
416	N16650	69	1997
417	N166AT	78	2004
418	N166AW	51	1986
419	N16701	72	1998
420	N16703	72	1998
421	N16709	72	1998
422	N16713	72	1998
423	N16732	72	1999
424	N167AT	78	2004
425	N167US	31	2001
426	N168AT	74	2004
427	N168AW	51	1986
428	N16911	156	2001
429	N16918	156	2001
430	N16919	156	2001
431	N16927	154	1996
432	N16944	154	1998
433	N16951	156	1998
434	N16954	156	1998
435	N16961	156	1999
436	N16963	156	1999
437	N16976	156	1999
438	N16981	156	1999
439	N16987	156	2000
440	N16999	156	2000
441	N169AT	74	2004
442	N169DZ	115	1998
443	N169UW	31	2001
444	N170US	31	2001
445	N17104	94	1994
446	N17105	94	1994
447	N17108	157	2002
448	N17115	157	2002
449	N17122	94	1997
450	N17126	94	1998
451	N17128	94	1998
452	N17133	94	1998
453	N17138	157	2003
454	N17139	94	2000
455	N17146	157	2003
456	N17156	130	1996
457	N17159	157	2004
458	N17169	157	2004
459	N17175	130	1997
460	N17185	157	2005
461	N17196	157	2005
462	N171DN	115	1990
463	N171DZ	115	1998
464	N171US	31	2001
465	N17229	81	1999
466	N17231	130	1998
467	N17233	81	1999
468	N17244	81	1999
469	N17245	81	1999
470	N17275	127	1998
471	N172DN	115	1990
472	N172DZ	115	1998
473	N172US	31	2001
474	N17321	61	1986
475	N17326	61	1986
476	N17328	61	1986
477	N17329	61	1986
478	N17337	127	1999
479	N17344	61	1987
480	N17345	61	1987
481	N17356	61	1988
482	N17358	127	
483	N173AT	74	2004
484	N173DN	115	1990
485	N173DZ	115	1998
486	N173UA	89	1989
487	N173US	31	2001
488	N174AT	74	2004
489	N174DN	115	1990
490	N174DZ	115	1998
491	N174UA	89	1990
492	N174US	31	
493	N17507	151	2000
494	N17513	153	2000
495	N17521	153	2001
496	N17524	153	2001
497	N17560	156	2002
498	N175AT	74	2004
499	N175AW	51	1987
500	N175DN	115	1990
501	N175DZ	115	1999
502	N175UA	89	1990
503	N17614		
504	N17619	69	1994
505	N17620	69	1994
506	N17627	69	1995
507	N17640	69	1997
508	N17644	69	1997
509	N17663	69	1998
510	N176AT	74	2005
511	N176DN	115	1990
512	N176DZ	115	1999
513	N176UW	31	2001
514	N17719	72	1999
515	N17730	72	1999
516	N177DN	115	1991
517	N177DZ	115	1999
518	N177UA	89	1990
519	N177US	31	
520	N178DN	115	1991
521	N178DZ	115	2000
522	N178JB	158	2005
523	N178UA	89	1990
524	N178US	31	2001
525	N17928	154	1996
526	N17984	156	2000
527	N1799U	146	1969
528	N179DN	115	1991
529	N179JB	158	2005
530	N179UA	89	1991
531	N179UW	31	2001
532	N180DN	115	1992
533	N180UA	89	1991
534	N180US	31	2001
535	N18101	157	2002
536	N18102	157	2002
537	N18112	94	1995
538	N18114	157	2002
539	N18119	94	1997
540	N18120	157	2003
541	N181DN	115	1992
542	N181UA	89	1991
543	N181UW	31	
544	N18220	81	1998
545	N18223	81	1998
546	N18243	81	1999
547	N182DN	115	1992
548	N182UA	89	1991
549	N182UW	31	2001
550	N18350	61	1987
551	N183DN	115	1993
552	N183JB	158	2005
553	N183UW	31	2001
554	N184AT	74	2005
555	N184DN	115	1993
556	N184JB	158	2005
557	N184US	31	2002
558	N18556	156	2002
559	N18557	156	
560	N185DN	115	1995
561	N185UW	31	2002
562	N18611	69	1994
563	N18622	69	1994
564	N18658	69	1998
565	N186DN	115	1995
566	N186US	18	2002
567	N187DN	115	1996
568	N187JB	158	2005
569	N187UA	89	1992
570	N187US	18	2002
571	N188DN	115	1996
572	N188US	18	2002
573	N18982	156	2000
574	N189DN	115	1997
575	N189UW	31	2001
576	N190DN	115	1997
577	N190JB	158	2005
578	N190UW	31	2001
579	N19117	94	1996
580	N19130	94	1998
581	N19136	94	1999
582	N19141	94	2000
583	N191DN	115	1997
584	N191UW	31	2001
585	N192DN	115	1997
586	N192JB	158	2005
587	N192UW	31	2001
588	N19357	61	1988
589	N193DN	115	1997
590	N193JB	158	2005
591	N193UW		
592	N194DN	115	1997
593	N194UW		
594	N19503	151	1999
595	N19554	156	2002
596	N195DN	115	1997
597	N195UA	89	1997
598	N195UW		
599	N19621	69	1994
600	N19623	69	1995
601	N19638	69	1997
602	N196DN	115	1997
603	N196UA	89	1997
604	N197DN	115	1997
605	N197JB	158	2006
606	N197UA	89	1997
607	N198DN	115	1998
608	N198JB	158	2006
609	N19966	156	1999
610	N199DN	115	1998
611	N199UA	89	1997
612	N200AA		
613	N200UU	101	1995
614	N200WN	79	2005
