12491,1596024,368,(as Ramón Aguirre),16,1
12491,1608156,,,6,1
12491,1622034,10381,,11,1
12491,1637922,,,,1
12491,1642263,,,,1
12491,1748813,,,,1
12491,1811883,24343,(as Ramon Aguirre),34,1
12491,1911097,8946,,8,1
12491,1935370,,,,1
12491,1991101,,,5,1
12491,1991783,1675,,6,1
12491,2029043,,,,1
12491,2062588,1562,,,1
12491,2140196,,,,1
12491,2147519,,,,1
12491,2158696,,,,1
12491,2208241,,,,1
12491,2265155,24349,,7,1
12491,2273563,24350,(as Ramón Aguirre),30,1
12491,2460457,,,,1
12491,404007,,,,1
12613,1699548,24478,,24,1
12798,1828296,,(as William Agosti),22,1
12804,1814921,24837,,8,1
12804,2149972,24856,,17,1
12826,1608996,,,5,1
12826,2078365,,,3,1
12826,2106315,,,3,1
12826,530879,50,,,1
12906,1827633,,,9,1
12930,2277999,25027,(Violin),40,1
12997,2172156,,,12,1
13000,1656673,,(as J. Luis Aguado),10,1
13001,1915461,,,14,1
13004,1796814,,,16,1
13004,2049522,10426,,14,1
13005,1992507,25092,,19,1
13011,1935123,1,,,1
13018,2387806,1,(archive footage),,1
13019,2389908,,,,1
13033,1739348,25138,,25,1
13086,1659843,,,20,1
13086,1826744,25185,,,1
13086,2201797,,,16,1
13130,1825546,,,,1
13130,2138593,,,,1
13130,2465585,,(uncredited),,1
13130,918826,10321,(1993),,1
13149,1705756,,,,1
13233,2172605,1,,,1
13281,2420993,,(uncredited),,1
13342,1894427,,,,1
13347,1811944,,,,1
13375,1812074,25611,,,1
13392,1651039,,,,1
13420,2407414,,,16,1
13448,1622471,25235,,16,1
13449,2184917,,,17,1
13464,2195405,25725,,1,1
13468,840083,50,(1993),,1
13489,1752262,1573,,13,1
13516,1739348,25759,,33,1
13540,991633,50,,,1
13569,1989261,25805,,,1
13586,925672,25815,,1,1
13625,1814322,,,3,1
13625,1831355,,,,1
13625,1839118,,,10,1
13625,2233185,3985,,,1
13625,196410,,,,1
13651,1031554,177,,,1
13665,2061644,,,,1
13671,1626547,25897,,29,1
13671,2082775,25904,(as Gorka Aginagalde),18,1
13671,2265155,13383,,22,1
13688,1984885,,,21,1
13699,2065184,,,,1
13708,1653071,,,,1
13708,1940733,25943,,,1
13708,1988027,,(as Armand Aguirre),123,1
13708,227654,,,,1
13759,1810246,1589,,24,1
13775,1810472,10426,,31,1
13799,1635271,,,,1
13799,1749624,,(segment "El amor es algo maravilloso"),29,1
13799,1810959,26053,,12,1
13799,1815657,,,,1
13799,1988619,,,23,1
13799,1988843,,,1,1
13799,1999204,,,21,1
13799,2048445,,,20,1
13799,2095873,,,21,1
