1647702,Apocalipsis sexual
1647723,Apocalypse domani
1648686,Aquarium
1648730,Aquel ritmillo
1648741,Aquella casa en las afueras
1648745,Aquellas Navidades
1648762,Aquesta nit o mai
1648806,Aquí hacemos los sueños realidad
1648807,Aquí huele a muerto... (¡pues yo no he sido!)
1648809,"Aquí llega Condemor, el pecador de la pradera"
1648824,"Aquí, el que no corre... vuela"
1649213,Araña y cierra España
1649870,Argeles
1650379,Armada 76
1650951,Arquitectura en la Costa del Sol
1650953,Arquitectura para después de una guerra
1650998,Arrebato
1650999,Arrebatos
1651039,"Arri, arri"
1651046,Arriba Hazaña
1651248,Arrivederci Roma
1651356,Ars
1651687,Arte actual U.S.A.
1651692,Arte de agricultura
1651697,Arte del tejido en el antiguo Perú
1651727,Arte precolombino en el Perú
1651771,Artesanos
1652154,Arturo Gámez
1652159,Arturo y el abismo
1652406,As aventuras do capitán Hixiénico
1652857,As xoias da señora Bianconero
1652961,Asaltar los cielos
1652965,Asalto a las tullerías
1652969,Asalto al Banco Central
1652970,Asalto al casino
1652991,Asamblea Nacional de Turismo
1653041,Ascendente
1653071,Ascensor
1653162,Asesinato en el Comité Central
1653187,"Asesino, asesino"
1653576,Asia: Terra isolita
1653812,Asignatura aprobada
1653813,Asignatura pendiente
1655292,"Asturias, sus gentes, sus cosas"
1655293,"Asturias, sus gentes, sus cosas: La mar"
1655349,Asunto interno
1655443,Así como habían sido
1655450,Así en el cielo como en la tierra
1655477,Así es la vida
1656033,Atacadas
1656064,Atapuerca: El misterio de la evolución humana
1656070,Ataque verbal
1656095,"Atascos, S.A."
1656122,Ataxia
1656320,"Atilano, presidente"
1656476,Atlántico Express
1656477,Atlántida (El mundo de Manuel de Falla II)
1656538,Atolladero
1656671,Atraco a sexo armado
1656673,Atraco en la jungla
1656681,Atrapado
1656695,Atrapados en el miedo
1657142,Atur
1657181,Atómica
1658008,Augurio: Primera parte de vestida de fiesta
1658080,"Augustin, roi du Kung-fu"
1658999,Autopista A-2-7
1659000,Autopista B30
1659001,"Autopista, unha navallada á nosa terra"
1659019,Autopsia
1659521,Ave Fénix
1659547,Ave María
1659681,Aventuras de Pinín y sus amigos
1659843,Avisa a Curro Jiménez
1660468,Ay qué ruina
1660690,Ayuda
1660707,"Ayutaya, el fin de una ciudad"
1661207,Añoranzas
1661226,B
1662650,Bacanal en directo
1662653,Bacanales romanas
1662654,"Bacanales romanas, II Parte"
1664435,Badis
1665009,Bahía blanca
1665293,Baja corazón
1665316,Bajarse al moro
1665381,Bajo en nicotina
1665386,Bajo la arena
1665399,Bajo la piel
1665422,Bajo un cielo extraño
1665430,Bajomonte
1665618,Bakterion
1665762,Balada da Praia dos Cães
1667044,Bandera negra
1667109,Bandidos
1667500,"Bangkok, cita con la muerte"
1667741,Banter
1667860,Bar
1667937,Bar-Cel-Ona
1668068,Barbacoa sangrienta
1668368,Barcelona Connection
1668374,Barcelona i el mar
1668375,Barcelona i Gaudí
1668381,Barcelona sur
1668387,Barcelona és de tots
1668389,"Barcelona, lament"
1669508,Barrio
1669543,Barrios altos
1669546,Barriotonia
1669556,Barroco
1669741,Barça (Historia del F.C. Barcelona)
1670491,Batida de raposas
1670617,Baton Rouge
1671468,Bazar Viena
1672149,Bearn o la sala de las muñecas
1672478,Beatriz
1675802,Belle epoque
1675868,"Belles, blondes et bronzées"
1675993,Belmonte
1676114,Beltenebros
1677104,Berenice
1677405,Berlín Blues
1677423,Bermude: la fossa maledetta
1677492,Bernegal
1677559,Bert
1677693,Besame
1677784,Besos y abrazos
1678194,Best Seller
1678223,Best-Seller: El premio
1680972,Bianco Apache
1681303,Bienaventura 'El Bruto'
1681311,Bienes de consumo y calidad de vida
1681332,"Bienvenido, Mister Krif"
1682939,Big Wendy
1683223,Bihotzez
1683521,Bilbao
1686203,Black
1687967,Black Venus
1688521,Blanca Madison
1688523,Blanca o la luna
1688567,Blanco o negro
1688568,Blanco perfecto
1688574,Blancor
1690943,Bloody Maruja
1691572,Blue Gin
1693027,Boca a boca
1693043,Bocamina
1693121,Bodas de sangre
1694200,Bomba de relojería
1694444,Bon Nadal
1694477,Bona nit
1695384,Boom Boom
1696049,Boris Godounov
1696319,Borneo
1696341,Borrasca
1696643,"Botas negras, látigo de cuero"
1698224,Bragas calientes
1698225,Bragas húmedas
1698229,Bragueta historia
1698268,Brain
1699548,Breaking the Waves
1700065,Breu encontre
1700087,Breve trayectoria de unas aspas de molino
1700730,Brindis en la huerta
1702095,Bronze
1702794,"Bruja, más que bruja"
1702796,Brujas
1702799,Brujas mágicas
1702811,Brumal
1702899,Bruseles
1703077,Brácula. Condemor II
1703975,Buenas intenciones
1703979,Buenas noches
1703989,"Buenas noches, señor monstruo"
1703998,Bueno y tierno como un ángel
1704170,Bufons i reis
1704516,Buitres sobre la ciudad
1704695,Bulimia
1705756,Burlanga
1706115,Burro
1706122,Burrp!
1706208,Buría busca Burías
1706317,Buscando a Perico
1707600,Buñuel
1707610,Bwana
1708155,Bámbola
1708340,"Bésame, tonta"
1708579,C'era un castello con 40 cani
1708759,C'è un fantasma nel mio letto
1709064,Cabeza de boi
1709074,Cabeza de Vaca
1709137,Cabo de vara
1709246,Cachito
1709253,Cachorro
1709262,Cacique Bandeira
1709313,Cada ver es...
1709423,Cadáveres para el lunes
1709582,Café de puchero
1709609,Café para tres
1709626,"Café, amor y estereofonía"
1709627,"Café, coca y puro"
1709884,Cal dous estraños
1710027,Cales y cantos (La Mancha III)
1710082,California
1710388,Call Girl: La vida privada de una señorita bien
1710808,Calor... y celos
1710849,Calvos anónimos
1710869,Calé
1710889,Camada negra
1710907,Camas
1710931,Cambio de sexo
1711000,Camelamos naquerar
1711142,Camila
1711206,Caminantes nocturnos
1711252,Camino de Santiago
1711269,Camino solitario
1711285,Caminos de tiza
1711296,Camiños de busca
1711460,Campamento internacional Uiaa Nun-Kun
1711502,Campeones
1711626,Campos de Níjar
1711719,Camí de tango
1712351,Canciones de nuestra vida
1712352,Canciones para después de una guerra
1712360,Canción de cuna
1712361,Canción de cuna
1712365,Canción de la trilla
1712384,Canción triste de...
1712644,Canela que tú me dieras
1712649,Canet Rock
1712673,Caniche
1712972,Cantata de Santa María de Iquique
1713251,Caperucita y Roja
1713355,Capità Escalaborns
1713987,Capullito de alhelí
1714007,Car Crash
1714067,Car-Men (Hombres-Coches)
1714076,Cara de acelga
1714092,Cara quemada
1714118,"Caracol, col, col"
1714202,Caray con el divorcio
1714203,Caray con la viejecita
1714233,Carboneros de Navarra
1714596,"Cariño mío, ¿qué me has hecho?"
1714597,"Cariño, he enviado a los hombres a la luna"
1714600,Cariñosamente infiel
1714668,Carla's Song
